GEO_ID,NAME,White,White_MOE,African American,African American_MOE,American Indian / Alaska Native,American Indian / Alaska Native_MOE,Asian,Asian_MOE,Native Hawaiian / Pacific Islander,Native Hawaiian / Pacific Islander_MOE
1500000US010890109041,Block Group 1; Census Tract 109.04; Madison County; Alabama,2194,471,55,71,0,13,0,13,0,13
1500000US010890109042,Block Group 2; Census Tract 109.04; Madison County; Alabama,889,410,19,16,0,13,0,13,0,13
1500000US010890109051,Block Group 1; Census Tract 109.05; Madison County; Alabama,2387,992,0,13,0,13,15,25,0,13
1500000US010890109052,Block Group 2; Census Tract 109.05; Madison County; Alabama,1672,568,22,38,0,13,129,204,0,13
1500000US010890109053,Block Group 3; Census Tract 109.05; Madison County; Alabama,3436,780,3,2,0,13,45,61,0,13
1500000US010890110121,Block Group 1; Census Tract 110.12; Madison County; Alabama,1930,404,0,13,5,11,263,226,0,13
1500000US010890110122,Block Group 2; Census Tract 110.12; Madison County; Alabama,1378,377,403,365,0,13,171,149,0,13
1500000US010890110123,Block Group 3; Census Tract 110.12; Madison County; Alabama,1337,379,103,88,4,25,74,88,0,13
1500000US010890110131,Block Group 1; Census Tract 110.13; Madison County; Alabama,747,203,44,79,21,24,61,67,0,13
1500000US010890110132,Block Group 2; Census Tract 110.13; Madison County; Alabama,1586,404,178,144,0,13,179,127,0,13
1500000US010890110133,Block Group 3; Census Tract 110.13; Madison County; Alabama,935,356,200,113,9,14,59,64,0,13
1500000US010890110211,Block Group 1; Census Tract 110.21; Madison County; Alabama,803,293,298,395,21,36,39,63,0,13
1500000US010890110212,Block Group 2; Census Tract 110.21; Madison County; Alabama,1508,547,331,222,0,13,84,93,0,13
1500000US010890110213,Block Group 3; Census Tract 110.21; Madison County; Alabama,873,406,514,325,45,62,0,13,0,13
1500000US010890110231,Block Group 1; Census Tract 110.23; Madison County; Alabama,885,383,0,13,0,13,96,109,0,13
1500000US010890110232,Block Group 2; Census Tract 110.23; Madison County; Alabama,1707,489,42,62,0,13,76,70,0,13
1500000US010890110233,Block Group 3; Census Tract 110.23; Madison County; Alabama,2098,509,334,160,23,39,587,272,0,13
1500000US010890110241,Block Group 1; Census Tract 110.24; Madison County; Alabama,1349,295,572,390,0,13,304,212,0,13
1500000US010890110242,Block Group 2; Census Tract 110.24; Madison County; Alabama,2354,639,351,340,0,13,119,107,0,13
1500000US010890110251,Block Group 1; Census Tract 110.25; Madison County; Alabama,501,241,193,214,0,13,0,13,4,8
1500000US010890110252,Block Group 2; Census Tract 110.25; Madison County; Alabama,395,359,820,345,0,13,0,13,0,13
1500000US010890110253,Block Group 3; Census Tract 110.25; Madison County; Alabama,909,363,237,296,0,13,195,206,0,13
1500000US010890110254,Block Group 4; Census Tract 110.25; Madison County; Alabama,2012,595,362,206,0,13,399,276,0,13
1500000US010890110261,Block Group 1; Census Tract 110.26; Madison County; Alabama,1297,358,224,136,0,13,46,56,0,13
1500000US010890110262,Block Group 2; Census Tract 110.26; Madison County; Alabama,1558,453,134,147,0,13,52,55,0,13
1500000US010890110271,Block Group 1; Census Tract 110.27; Madison County; Alabama,964,323,248,204,0,13,250,201,0,13
1500000US010890110272,Block Group 2; Census Tract 110.27; Madison County; Alabama,1521,449,16,34,12,24,36,46,0,13
1500000US010890110281,Block Group 1; Census Tract 110.28; Madison County; Alabama,1387,611,68,118,0,13,0,13,0,13
1500000US010890110282,Block Group 2; Census Tract 110.28; Madison County; Alabama,400,212,583,376,0,13,201,116,0,13
1500000US010890110283,Block Group 3; Census Tract 110.28; Madison County; Alabama,1198,425,409,263,0,13,0,13,0,13
1500000US010890111001,Block Group 1; Census Tract 111; Madison County; Alabama,264,188,52,62,0,13,12,20,0,13
1500000US010890111002,Block Group 2; Census Tract 111; Madison County; Alabama,515,122,69,49,0,13,14,9,0,13
1500000US010890112011,Block Group 1; Census Tract 112.01; Madison County; Alabama,1049,458,253,170,28,49,62,84,0,13
1500000US010890112012,Block Group 2; Census Tract 112.01; Madison County; Alabama,1966,536,1105,419,0,13,10,17,0,13
1500000US010890112021,Block Group 1; Census Tract 112.02; Madison County; Alabama,967,455,237,219,112,116,87,90,0,13
1500000US010890112022,Block Group 2; Census Tract 112.02; Madison County; Alabama,911,447,834,662,0,13,209,349,0,13
1500000US010890112023,Block Group 3; Census Tract 112.02; Madison County; Alabama,1125,520,387,199,0,13,122,147,0,13
1500000US010890112031,Block Group 1; Census Tract 112.03; Madison County; Alabama,481,256,274,162,0,13,5,11,0,13
1500000US010890112032,Block Group 2; Census Tract 112.03; Madison County; Alabama,1556,325,1637,310,8,14,158,149,0,13
1500000US010890112033,Block Group 3; Census Tract 112.03; Madison County; Alabama,1023,479,255,241,0,13,103,111,0,13
1500000US010890113011,Block Group 1; Census Tract 113.01; Madison County; Alabama,1720,300,39,37,0,13,25,29,0,13
1500000US010890113012,Block Group 2; Census Tract 113.01; Madison County; Alabama,1528,280,60,51,36,27,30,33,0,13
1500000US010890113021,Block Group 1; Census Tract 113.02; Madison County; Alabama,1118,307,46,61,0,13,256,201,0,13
1500000US010890113022,Block Group 2; Census Tract 113.02; Madison County; Alabama,1541,767,18,27,0,13,26,34,0,13
1500000US010890113023,Block Group 3; Census Tract 113.02; Madison County; Alabama,1532,370,27,44,0,13,28,33,0,13
1500000US010890114001,Block Group 1; Census Tract 114; Madison County; Alabama,597,245,0,13,18,30,0,13,0,13
1500000US010890114002,Block Group 2; Census Tract 114; Madison County; Alabama,450,192,0,13,18,20,0,13,0,13
1500000US010890114003,Block Group 3; Census Tract 114; Madison County; Alabama,1094,317,0,13,0,13,0,13,0,13
1500000US010890114004,Block Group 4; Census Tract 114; Madison County; Alabama,1646,615,38,67,16,22,12,19,0,13
