GEO_ID,NAME,Less than 5 minutes,Less than 5 minutes_MOE,5 to 9 minutes,5 to 9 minutes_MOE,10 to 14 minutes,10 to 14 minutes_MOE,15 to 19 minutes,15 to 19 minutes_MOE,20 to 24 minutes,20 to 24 minutes_MOE,25 to 29 minutes,25 to 29 minutes_MOE,30 to 34 minutes,30 to 34 minutes_MOE,35 to 39 minutes,35 to 39 minutes_MOE,40 to 44 minutes,40 to 44 minutes_MOE,45 to 59 minutes,45 to 59 minutes_MOE,60 to 89 minutes,60 to 89 minutes_MOE,90 or more minutes,90 or more minutes_MOE
1500000US010890106281,Block Group 1; Census Tract 106.28; Madison County; Alabama,9,16,0,13,0,13,59,50,95,70,59,47,81,67,135,167,0,13,5,12,64,69,252,251
1500000US010890106282,Block Group 2; Census Tract 106.28; Madison County; Alabama,0,13,0,13,78,50,55,72,15,24,132,81,180,103,125,96,53,57,59,61,0,13,34,50
1500000US010890106291,Block Group 1; Census Tract 106.29; Madison County; Alabama,107,135,107,84,14,18,106,96,285,128,156,103,158,98,139,99,36,35,23,27,0,13,34,37
1500000US010890106292,Block Group 2; Census Tract 106.29; Madison County; Alabama,16,24,9,14,20,28,128,108,472,266,139,111,436,236,22,25,19,21,13,15,45,50,10,17
1500000US010890106301,Block Group 1; Census Tract 106.30; Madison County; Alabama,9,19,17,24,68,78,93,62,127,73,30,45,180,217,0,13,0,13,23,40,0,13,0,13
1500000US010890106302,Block Group 2; Census Tract 106.30; Madison County; Alabama,12,18,107,94,109,64,275,106,212,91,97,85,108,84,0,13,42,44,10,17,0,13,0,13
1500000US010890106311,Block Group 1; Census Tract 106.31; Madison County; Alabama,0,13,44,39,384,129,549,204,372,181,43,41,66,96,0,13,32,43,28,40,0,13,0,13
1500000US010890106312,Block Group 2; Census Tract 106.31; Madison County; Alabama,0,13,32,40,126,94,158,87,292,125,168,109,85,61,12,19,0,13,21,28,0,13,0,13
1500000US010890107031,Block Group 1; Census Tract 107.03; Madison County; Alabama,23,39,19,32,3,9,230,165,139,99,94,57,126,103,18,28,0,13,55,49,0,13,0,13
1500000US010890107032,Block Group 2; Census Tract 107.03; Madison County; Alabama,19,31,75,73,379,279,418,211,395,177,152,96,366,162,25,38,73,79,59,59,174,135,25,28
1500000US010890107041,Block Group 1; Census Tract 107.04; Madison County; Alabama,16,24,0,13,34,42,91,61,123,70,124,82,162,88,103,106,54,69,14,23,15,25,0,13
1500000US010890107042,Block Group 2; Census Tract 107.04; Madison County; Alabama,0,13,0,13,0,13,305,294,127,93,70,65,136,182,0,13,35,53,0,13,31,44,0,13
1500000US010890107043,Block Group 3; Census Tract 107.04; Madison County; Alabama,0,13,45,45,17,28,79,68,160,145,151,108,62,58,11,19,92,71,0,13,0,13,0,13
1500000US010890107051,Block Group 1; Census Tract 107.05; Madison County; Alabama,0,13,18,32,27,33,277,207,103,101,79,59,52,69,0,13,0,13,56,64,0,13,11,20
1500000US010890107052,Block Group 2; Census Tract 107.05; Madison County; Alabama,0,13,0,13,211,175,155,102,404,160,190,175,115,160,0,13,16,27,0,13,0,13,100,140
1500000US010890107061,Block Group 1; Census Tract 107.06; Madison County; Alabama,0,13,0,13,0,13,42,40,118,94,15,23,63,66,0,13,19,20,0,13,0,13,0,13
1500000US010890107062,Block Group 2; Census Tract 107.06; Madison County; Alabama,0,13,84,79,169,141,77,52,194,102,48,54,128,79,0,13,0,13,34,46,0,13,0,13
1500000US010890107063,Block Group 3; Census Tract 107.06; Madison County; Alabama,0,13,125,109,118,78,86,92,329,170,18,27,265,166,30,44,0,13,19,31,0,13,0,13
1500000US010890108011,Block Group 1; Census Tract 108.01; Madison County; Alabama,0,13,112,79,51,56,202,125,237,109,0,13,158,117,14,24,43,65,135,135,0,13,12,23
1500000US010890108012,Block Group 2; Census Tract 108.01; Madison County; Alabama,9,17,45,58,36,47,61,70,675,385,343,255,102,99,18,29,19,32,0,13,0,13,198,314
1500000US010890108013,Block Group 3; Census Tract 108.01; Madison County; Alabama,12,21,0,13,26,41,21,33,93,67,73,61,96,74,32,38,12,23,70,63,0,13,0,13
1500000US010890108021,Block Group 1; Census Tract 108.02; Madison County; Alabama,0,13,63,98,0,13,0,13,140,131,15,28,29,45,43,52,0,13,0,13,0,13,0,13
1500000US010890108022,Block Group 2; Census Tract 108.02; Madison County; Alabama,0,13,27,45,287,250,368,302,418,338,119,105,105,94,14,24,0,13,69,104,0,13,0,13
1500000US010890108023,Block Group 3; Census Tract 108.02; Madison County; Alabama,0,13,0,13,117,84,41,38,147,104,24,37,63,61,76,117,22,41,31,31,0,13,0,13
1500000US010890109021,Block Group 1; Census Tract 109.02; Madison County; Alabama,8,11,60,71,8,7,53,34,80,52,92,46,55,40,10,16,22,18,10,14,2,4,0,13
1500000US010890109022,Block Group 2; Census Tract 109.02; Madison County; Alabama,0,13,0,13,0,13,11,17,27,23,51,46,57,39,0,13,9,13,0,13,8,12,0,13
1500000US010890109023,Block Group 3; Census Tract 109.02; Madison County; Alabama,0,13,17,21,36,35,31,35,49,34,149,131,133,67,0,13,0,13,11,17,0,13,10,16
1500000US010890109031,Block Group 1; Census Tract 109.03; Madison County; Alabama,5,13,83,89,29,34,95,70,246,210,328,222,66,66,14,26,52,65,0,13,0,13,0,13
1500000US010890109032,Block Group 2; Census Tract 109.03; Madison County; Alabama,13,21,0,13,0,13,70,66,73,107,58,53,28,43,0,13,0,13,50,78,11,19,0,13
1500000US010890109033,Block Group 3; Census Tract 109.03; Madison County; Alabama,0,13,21,40,75,85,82,86,253,162,348,262,183,119,134,103,60,54,0,13,0,13,48,79
1500000US010890109041,Block Group 1; Census Tract 109.04; Madison County; Alabama,0,13,44,38,48,78,82,97,135,111,43,39,519,414,89,75,16,27,7,13,0,13,0,13
1500000US010890109042,Block Group 2; Census Tract 109.04; Madison County; Alabama,0,13,0,13,9,15,16,19,127,105,226,165,40,28,22,21,70,118,31,50,0,13,8,14
1500000US010890109051,Block Group 1; Census Tract 109.05; Madison County; Alabama,19,32,0,13,0,13,41,64,261,144,85,97,383,401,154,145,45,39,228,327,16,27,0,13
1500000US010890109052,Block Group 2; Census Tract 109.05; Madison County; Alabama,0,13,0,13,72,116,16,27,200,144,0,13,177,107,45,71,45,72,0,13,13,20,0,13
1500000US010890109053,Block Group 3; Census Tract 109.05; Madison County; Alabama,35,42,0,13,276,144,108,77,326,189,211,140,265,140,43,59,0,13,16,28,39,45,0,13
1500000US010890110121,Block Group 1; Census Tract 110.12; Madison County; Alabama,0,13,55,81,202,114,330,157,140,103,22,39,121,115,13,24,0,13,0,13,0,13,0,13
1500000US010890110122,Block Group 2; Census Tract 110.12; Madison County; Alabama,0,13,0,13,161,111,101,86,313,137,45,39,119,89,0,13,19,33,37,37,15,23,0,13
1500000US010890110123,Block Group 3; Census Tract 110.12; Madison County; Alabama,0,13,0,13,31,41,135,63,87,64,54,57,190,94,0,13,0,13,25,34,0,13,0,13
1500000US010890110131,Block Group 1; Census Tract 110.13; Madison County; Alabama,0,13,0,13,70,63,91,50,117,83,9,16,72,47,7,12,0,13,10,18,0,13,0,13
1500000US010890110132,Block Group 2; Census Tract 110.13; Madison County; Alabama,0,13,151,112,229,123,211,114,219,101,127,67,56,40,0,13,0,13,33,37,0,13,0,13
1500000US010890110133,Block Group 3; Census Tract 110.13; Madison County; Alabama,0,13,49,47,184,101,108,76,77,65,12,19,174,136,14,23,0,13,32,51,13,23,0,13
1500000US010890110211,Block Group 1; Census Tract 110.21; Madison County; Alabama,0,13,126,106,146,151,170,97,162,124,0,13,140,151,18,27,0,13,0,13,0,13,0,13
1500000US010890110212,Block Group 2; Census Tract 110.21; Madison County; Alabama,28,55,53,60,82,104,84,66,267,176,78,79,134,92,20,31,0,13,0,13,24,40,0,13
1500000US010890110213,Block Group 3; Census Tract 110.21; Madison County; Alabama,0,13,248,273,36,43,151,118,146,122,29,47,0,13,0,13,0,13,55,91,0,13,0,13
1500000US010890110231,Block Group 1; Census Tract 110.23; Madison County; Alabama,0,13,74,60,14,24,22,26,112,61,68,72,98,79,0,13,96,103,32,44,0,13,0,13
1500000US010890110232,Block Group 2; Census Tract 110.23; Madison County; Alabama,42,44,34,54,95,85,169,105,90,76,96,84,106,67,0,13,0,13,0,13,0,13,0,13
1500000US010890110233,Block Group 3; Census Tract 110.23; Madison County; Alabama,62,86,75,67,162,114,349,189,337,158,163,143,298,149,115,146,0,13,0,13,0,13,0,13
1500000US010890110241,Block Group 1; Census Tract 110.24; Madison County; Alabama,0,13,83,59,67,53,240,100,162,92,184,127,261,134,72,61,26,43,46,41,12,24,0,13
1500000US010890110242,Block Group 2; Census Tract 110.24; Madison County; Alabama,28,42,33,45,246,201,296,135,101,65,95,81,153,71,96,98,40,43,42,40,0,13,0,13
1500000US010890110251,Block Group 1; Census Tract 110.25; Madison County; Alabama,0,13,37,42,90,78,40,51,103,108,71,91,18,28,0,13,0,13,0,13,0,13,0,13
1500000US010890110252,Block Group 2; Census Tract 110.25; Madison County; Alabama,0,13,266,288,45,48,80,118,222,160,30,50,0,13,0,13,18,34,14,24,0,13,0,13
1500000US010890110253,Block Group 3; Census Tract 110.25; Madison County; Alabama,36,58,16,26,0,13,128,146,100,101,79,74,54,68,0,13,0,13,0,13,0,13,0,13
1500000US010890110254,Block Group 4; Census Tract 110.25; Madison County; Alabama,0,13,17,27,98,79,165,109,270,126,125,105,107,79,0,13,16,28,0,13,49,54,18,30
1500000US010890110261,Block Group 1; Census Tract 110.26; Madison County; Alabama,0,13,0,13,34,35,152,95,216,152,54,43,117,83,0,13,15,26,23,37,0,13,46,68
1500000US010890110262,Block Group 2; Census Tract 110.26; Madison County; Alabama,0,13,25,30,102,102,178,131,278,158,68,53,80,72,14,22,17,27,19,24,0,13,10,17
1500000US010890110271,Block Group 1; Census Tract 110.27; Madison County; Alabama,0,13,127,110,205,221,155,95,116,84,8,16,13,26,13,21,0,13,29,49,0,13,27,38
1500000US010890110272,Block Group 2; Census Tract 110.27; Madison County; Alabama,0,13,64,65,261,215,163,112,95,80,35,28,7,15,19,24,0,13,0,13,28,47,0,13
1500000US010890110281,Block Group 1; Census Tract 110.28; Madison County; Alabama,0,13,87,64,123,88,132,88,8,14,56,54,23,28,0,13,0,13,5,12,36,49,0,13
1500000US010890110282,Block Group 2; Census Tract 110.28; Madison County; Alabama,0,13,194,157,323,185,217,119,0,13,12,18,0,13,0,13,0,13,0,13,0,13,0,13
1500000US010890110283,Block Group 3; Census Tract 110.28; Madison County; Alabama,11,19,108,83,88,71,135,118,269,216,39,76,89,90,23,37,0,13,0,13,0,13,0,13
1500000US010890111001,Block Group 1; Census Tract 111; Madison County; Alabama,40,35,44,21,33,27,69,59,8,12,0,13,36,41,0,13,0,13,0,13,18,27,0,13
1500000US010890111002,Block Group 2; Census Tract 111; Madison County; Alabama,16,14,73,52,91,52,84,41,49,39,6,9,4,6,6,9,0,13,0,13,0,13,0,13
1500000US010890112011,Block Group 1; Census Tract 112.01; Madison County; Alabama,0,13,126,110,46,60,151,110,295,164,153,137,47,56,0,13,0,13,0,13,0,13,0,13
1500000US010890112012,Block Group 2; Census Tract 112.01; Madison County; Alabama,0,13,61,91,141,102,438,212,464,185,25,44,786,395,0,13,0,13,16,26,0,13,0,13
1500000US010890112021,Block Group 1; Census Tract 112.02; Madison County; Alabama,0,13,0,13,64,78,153,124,342,184,42,70,94,99,0,13,0,13,0,13,0,13,0,13
1500000US010890112022,Block Group 2; Census Tract 112.02; Madison County; Alabama,0,13,65,65,278,280,273,231,159,195,0,13,13,21,0,13,81,122,0,13,0,13,58,92
1500000US010890112023,Block Group 3; Census Tract 112.02; Madison County; Alabama,26,42,31,40,80,84,432,203,147,103,108,136,215,176,0,13,0,13,0,13,28,37,0,13
1500000US010890112031,Block Group 1; Census Tract 112.03; Madison County; Alabama,0,13,36,55,62,65,141,123,76,74,36,57,96,104,0,13,24,37,0,13,0,13,0,13
1500000US010890112032,Block Group 2; Census Tract 112.03; Madison County; Alabama,27,30,35,39,113,79,418,188,204,115,257,167,203,118,25,22,6,10,6,11,31,38,26,23
1500000US010890112033,Block Group 3; Census Tract 112.03; Madison County; Alabama,0,13,7,17,29,38,170,127,24,40,0,13,109,104,0,13,0,13,0,13,0,13,0,13
1500000US010890113011,Block Group 1; Census Tract 113.01; Madison County; Alabama,0,13,30,33,44,35,47,32,117,67,95,47,197,103,111,72,30,32,110,82,6,9,3,5
1500000US010890113012,Block Group 2; Census Tract 113.01; Madison County; Alabama,5,8,30,28,84,44,66,54,119,51,137,71,114,55,45,24,21,26,80,41,27,25,14,18
1500000US010890113021,Block Group 1; Census Tract 113.02; Madison County; Alabama,17,26,0,13,68,88,45,40,268,189,143,87,106,85,67,76,0,13,0,13,0,13,0,13
1500000US010890113022,Block Group 2; Census Tract 113.02; Madison County; Alabama,0,13,174,173,0,13,17,28,218,171,162,150,54,59,0,13,18,18,20,28,0,13,0,13
1500000US010890113023,Block Group 3; Census Tract 113.02; Madison County; Alabama,10,19,58,56,20,34,65,54,97,75,134,83,249,154,48,48,24,40,24,32,0,13,0,13
1500000US010890114001,Block Group 1; Census Tract 114; Madison County; Alabama,0,13,20,32,29,39,38,56,0,13,25,28,59,51,7,10,0,13,34,35,4,7,0,13
1500000US010890114002,Block Group 2; Census Tract 114; Madison County; Alabama,0,13,23,23,6,9,8,14,6,10,20,24,7,13,76,61,13,15,10,15,1,8,0,13
1500000US010890114003,Block Group 3; Census Tract 114; Madison County; Alabama,0,13,27,32,0,13,0,13,10,14,7,9,111,80,23,39,101,83,65,63,25,25,22,33
1500000US010890114004,Block Group 4; Census Tract 114; Madison County; Alabama,24,24,44,41,70,56,134,146,178,193,55,56,145,94,5,9,22,26,50,66,65,54,6,12
