GEO_ID,NAME,"Less than $10,000","Less than $10,000_MOE","$10,000 to $14,999","$10,000 to $14,999_MOE","$15,000 to $19,999","$15,000 to $19,999_MOE","$20,000 to $24,999","$20,000 to $24,999_MOE","$25,000 to $29,999","$25,000 to $29,999_MOE","$30,000 to $34,999","$30,000 to $34,999_MOE","$35,000 to $39,999","$35,000 to $39,999_MOE","$40,000 to $44,999","$40,000 to $44,999_MOE","$45,000 to $49,999","$45,000 to $49,999_MOE","$50,000 to $59,999","$50,000 to $59,999_MOE","$60,000 to $74,999","$60,000 to $74,999_MOE","$75,000 to $99,999","$75,000 to $99,999_MOE","$100,000 to $124,999","$100,000 to $124,999_MOE","$125,000 to $149,999","$125,000 to $149,999_MOE","$150,000 to $199,999","$150,000 to $199,999_MOE","$200,000 or more","$200,000 or more_MOE"
1500000US010890007013,Block Group 3; Census Tract 7.01; Madison County; Alabama,17,29,6,11,39,64,18,23,41,48,42,50,10,16,9,19,13,14,32,41,102,109,51,59,95,65,36,56,16,23,13,23
1500000US010890007021,Block Group 1; Census Tract 7.02; Madison County; Alabama,67,57,16,24,0,13,61,87,0,13,19,23,29,37,0,13,24,23,27,36,102,63,119,78,26,46,0,13,69,66,15,22
1500000US010890007022,Block Group 2; Census Tract 7.02; Madison County; Alabama,61,46,59,39,54,47,99,67,7,11,92,108,60,61,121,117,36,34,12,21,32,30,47,52,10,19,85,138,0,13,0,13
1500000US010890009011,Block Group 1; Census Tract 9.01; Madison County; Alabama,0,13,0,13,0,13,23,38,0,13,0,13,69,78,35,55,111,134,0,13,76,89,57,52,30,39,117,94,0,13,21,35
1500000US010890009012,Block Group 2; Census Tract 9.01; Madison County; Alabama,0,13,0,13,0,13,0,13,0,13,0,13,44,47,21,34,0,13,31,37,34,43,81,85,93,96,70,63,50,59,37,59
1500000US010890009013,Block Group 3; Census Tract 9.01; Madison County; Alabama,0,13,0,13,0,13,44,71,0,13,41,46,0,13,0,13,22,37,31,53,0,13,157,133,36,45,81,74,30,43,0,13
1500000US010890009014,Block Group 4; Census Tract 9.01; Madison County; Alabama,0,13,0,13,0,13,0,13,15,28,0,13,0,13,26,44,23,37,29,36,23,36,120,111,132,140,102,86,146,109,0,13
1500000US010890009021,Block Group 1; Census Tract 9.02; Madison County; Alabama,30,43,0,13,0,13,0,13,20,22,0,13,7,11,29,36,36,32,65,45,252,261,138,82,113,83,55,39,42,33,63,33
1500000US010890009022,Block Group 2; Census Tract 9.02; Madison County; Alabama,14,21,11,17,9,14,47,38,20,18,0,13,5,8,16,13,63,45,55,37,17,19,73,42,58,36,0,13,56,54,16,19
1500000US010890010001,Block Group 1; Census Tract 10; Madison County; Alabama,12,18,56,46,0,13,51,37,26,28,55,53,0,13,36,44,16,18,42,33,31,37,96,62,75,49,59,33,155,113,181,81
1500000US010890010002,Block Group 2; Census Tract 10; Madison County; Alabama,12,20,24,26,35,51,14,22,31,52,38,32,83,108,65,47,67,58,70,68,160,80,69,80,110,62,21,24,20,23,24,23
1500000US010890012001,Block Group 1; Census Tract 12; Madison County; Alabama,32,30,38,58,201,267,12,19,15,20,0,13,88,70,52,68,0,13,12,19,140,76,0,13,28,35,0,13,0,13,0,13
1500000US010890012002,Block Group 2; Census Tract 12; Madison County; Alabama,44,64,91,94,18,29,0,13,43,49,4,6,0,13,0,13,0,13,0,13,34,54,0,13,0,13,0,13,0,13,0,13
1500000US010890012003,Block Group 3; Census Tract 12; Madison County; Alabama,157,108,83,65,49,46,49,57,24,28,0,13,10,20,0,13,0,13,26,39,109,103,39,50,30,46,0,13,0,13,0,13
1500000US010890013011,Block Group 1; Census Tract 13.01; Madison County; Alabama,104,109,53,48,57,53,48,37,13,20,59,57,31,36,235,215,0,13,53,49,44,48,69,58,11,17,0,13,6,12,32,36
1500000US010890013012,Block Group 2; Census Tract 13.01; Madison County; Alabama,114,86,46,49,74,80,47,39,0,13,33,40,24,27,31,43,0,13,39,54,60,54,84,63,32,51,68,98,3,9,7,15
1500000US010890013013,Block Group 3; Census Tract 13.01; Madison County; Alabama,27,43,102,129,0,13,106,126,25,39,107,93,12,21,0,13,0,13,58,94,0,13,0,13,0,13,0,13,21,25,0,13
1500000US010890013021,Block Group 1; Census Tract 13.02; Madison County; Alabama,31,28,0,13,66,48,122,114,93,58,95,74,123,84,65,61,70,34,166,103,74,55,58,44,97,56,14,16,22,20,15,21
1500000US010890014011,Block Group 1; Census Tract 14.01; Madison County; Alabama,8,14,44,43,6,9,6,10,63,86,27,22,12,16,13,15,55,41,80,51,62,39,213,64,149,63,174,106,213,101,154,59
1500000US010890014031,Block Group 1; Census Tract 14.03; Madison County; Alabama,133,104,0,13,23,43,22,35,0,13,113,143,86,85,22,34,76,70,8,13,14,23,247,190,64,73,30,35,24,43,37,35
1500000US010890014032,Block Group 2; Census Tract 14.03; Madison County; Alabama,0,13,0,13,0,13,38,45,24,38,16,27,16,25,60,58,0,13,0,13,104,77,135,91,93,51,20,23,48,57,34,31
1500000US010890014041,Block Group 1; Census Tract 14.04; Madison County; Alabama,0,13,0,13,0,13,95,125,128,117,37,51,16,25,10,16,8,13,49,76,57,95,43,34,0,13,36,39,19,23,16,19
1500000US010890014042,Block Group 2; Census Tract 14.04; Madison County; Alabama,49,58,10,16,32,56,118,115,0,13,166,150,0,13,0,13,70,78,93,114,71,68,24,28,44,53,0,13,45,53,0,13
1500000US010890014043,Block Group 3; Census Tract 14.04; Madison County; Alabama,106,98,0,13,0,13,0,13,7,11,36,29,13,20,36,41,0,13,28,28,66,51,110,79,112,100,25,40,72,90,40,44
1500000US010890015001,Block Group 1; Census Tract 15; Madison County; Alabama,63,81,64,60,89,85,54,54,51,41,41,41,69,57,81,62,112,101,10,15,40,38,211,135,183,242,0,13,0,13,0,13
1500000US010890015002,Block Group 2; Census Tract 15; Madison County; Alabama,0,13,0,13,17,28,0,13,0,13,11,19,12,21,10,17,0,13,0,13,10,17,40,39,15,19,28,32,23,25,11,18
1500000US010890015003,Block Group 3; Census Tract 15; Madison County; Alabama,21,24,41,42,0,13,0,13,19,23,82,114,80,90,0,13,10,17,7,15,17,22,12,21,0,13,0,13,38,46,0,13
1500000US010890015004,Block Group 4; Census Tract 15; Madison County; Alabama,0,13,0,13,0,13,21,24,4,6,67,77,0,13,19,20,0,13,33,39,26,47,22,19,65,50,10,16,38,60,0,13
1500000US010890017001,Block Group 1; Census Tract 17; Madison County; Alabama,0,13,6,9,6,9,6,10,0,13,6,9,11,12,27,33,5,9,26,21,9,13,6,9,31,21,38,25,46,39,156,65
1500000US010890017002,Block Group 2; Census Tract 17; Madison County; Alabama,6,9,7,10,0,13,6,10,0,13,0,13,2,5,16,18,0,13,37,23,37,29,35,30,45,26,40,31,77,39,177,85
1500000US010890018011,Block Group 1; Census Tract 18.01; Madison County; Alabama,27,26,10,18,0,13,9,13,0,13,0,13,36,35,17,20,0,13,17,19,30,29,26,24,68,62,17,20,140,55,258,78
