GEO_ID,NAME,Family,Family_MOE,Family (2-person),Family (2-person)_MOE,Family (3-person),Family (3-person)_MOE,Family (4-person),Family (4-person)_MOE,Family (5-person),Family (5-person)_MOE,Family (6-person),Family (6-person)_MOE,Family (7-person or more),Family (7-person or more)_MOE
1500000US010890015002,Block Group 2; Census Tract 15; Madison County; Alabama,123,58,66,39,22,24,34,37,0,13,0,13,1,12
1500000US010890015003,Block Group 3; Census Tract 15; Madison County; Alabama,159,119,9,15,30,32,108,118,12,21,0,13,0,13
1500000US010890015004,Block Group 4; Census Tract 15; Madison County; Alabama,160,80,87,60,0,13,26,28,0,13,38,60,9,13
1500000US010890017001,Block Group 1; Census Tract 17; Madison County; Alabama,210,54,107,36,37,26,41,32,25,40,0,13,0,13
1500000US010890017002,Block Group 2; Census Tract 17; Madison County; Alabama,340,84,171,80,35,32,87,31,41,28,0,13,6,11
1500000US010890018011,Block Group 1; Census Tract 18.01; Madison County; Alabama,559,111,267,97,113,59,140,75,28,29,0,13,11,18
1500000US010890018012,Block Group 2; Census Tract 18.01; Madison County; Alabama,296,125,117,50,134,109,37,29,8,14,0,13,0,13
1500000US010890018013,Block Group 3; Census Tract 18.01; Madison County; Alabama,306,113,224,113,25,24,19,23,10,16,0,13,28,34
1500000US010890019011,Block Group 1; Census Tract 19.01; Madison County; Alabama,270,105,183,91,44,47,31,38,12,21,0,13,0,13
1500000US010890019012,Block Group 2; Census Tract 19.01; Madison County; Alabama,413,94,206,66,100,73,57,50,27,28,23,29,0,13
1500000US010890019013,Block Group 3; Census Tract 19.01; Madison County; Alabama,330,87,203,70,45,32,72,60,10,15,0,13,0,13
1500000US010890019021,Block Group 1; Census Tract 19.02; Madison County; Alabama,548,70,329,63,71,39,78,52,70,48,0,13,0,13
1500000US010890019031,Block Group 1; Census Tract 19.03; Madison County; Alabama,627,81,336,72,107,41,64,32,73,45,30,24,17,18
1500000US010890020001,Block Group 1; Census Tract 20; Madison County; Alabama,105,42,28,28,40,32,27,28,0,13,0,13,10,15
1500000US010890020002,Block Group 2; Census Tract 20; Madison County; Alabama,388,172,178,75,152,151,51,36,7,12,0,13,0,13
1500000US010890021001,Block Group 1; Census Tract 21; Madison County; Alabama,96,66,66,52,6,9,24,37,0,13,0,13,0,13
1500000US010890021002,Block Group 2; Census Tract 21; Madison County; Alabama,137,70,52,48,40,47,0,13,0,13,45,50,0,13
1500000US010890021003,Block Group 3; Census Tract 21; Madison County; Alabama,287,221,228,225,54,47,5,9,0,13,0,13,0,13
1500000US010890022001,Block Group 1; Census Tract 22; Madison County; Alabama,330,134,180,121,93,57,22,33,13,20,22,23,0,13
1500000US010890022002,Block Group 2; Census Tract 22; Madison County; Alabama,142,69,88,68,48,30,0,13,6,9,0,13,0,13
1500000US010890023001,Block Group 1; Census Tract 23; Madison County; Alabama,148,125,64,63,0,13,69,98,0,13,15,29,0,13
1500000US010890023002,Block Group 2; Census Tract 23; Madison County; Alabama,352,147,127,145,120,72,65,80,0,13,40,52,0,13
1500000US010890023003,Block Group 3; Census Tract 23; Madison County; Alabama,364,274,323,268,41,56,0,13,0,13,0,13,0,13
1500000US010890023004,Block Group 4; Census Tract 23; Madison County; Alabama,377,209,253,160,109,135,15,24,0,13,0,13,0,13
1500000US010890024001,Block Group 1; Census Tract 24; Madison County; Alabama,151,188,0,13,151,188,0,13,0,13,0,13,0,13
1500000US010890024002,Block Group 2; Census Tract 24; Madison County; Alabama,250,147,65,75,108,88,77,80,0,13,0,13,0,13
1500000US010890024003,Block Group 3; Census Tract 24; Madison County; Alabama,174,159,95,136,47,72,32,53,0,13,0,13,0,13
1500000US010890024004,Block Group 4; Census Tract 24; Madison County; Alabama,279,233,169,170,8,21,102,148,0,13,0,13,0,13
1500000US010890025011,Block Group 1; Census Tract 25.01; Madison County; Alabama,49,46,28,39,21,29,0,13,0,13,0,13,0,13
1500000US010890025012,Block Group 2; Census Tract 25.01; Madison County; Alabama,181,107,57,68,0,13,0,13,124,92,0,13,0,13
1500000US010890025013,Block Group 3; Census Tract 25.01; Madison County; Alabama,221,125,0,13,94,78,100,102,27,43,0,13,0,13
1500000US010890025021,Block Group 1; Census Tract 25.02; Madison County; Alabama,146,66,23,33,34,48,20,41,0,13,69,56,0,13
1500000US010890025022,Block Group 2; Census Tract 25.02; Madison County; Alabama,276,172,102,125,67,69,47,65,60,81,0,13,0,13
1500000US010890025023,Block Group 3; Census Tract 25.02; Madison County; Alabama,158,154,55,49,93,138,0,13,10,17,0,13,0,13
1500000US010890026001,Block Group 1; Census Tract 26; Madison County; Alabama,193,81,188,81,0,13,5,10,0,13,0,13,0,13
1500000US010890026002,Block Group 2; Census Tract 26; Madison County; Alabama,307,90,218,80,48,51,19,23,22,27,0,13,0,13
1500000US010890026003,Block Group 3; Census Tract 26; Madison County; Alabama,427,128,304,132,0,13,37,26,74,49,12,21,0,13
1500000US010890027011,Block Group 1; Census Tract 27.01; Madison County; Alabama,332,92,216,69,83,60,14,17,0,13,19,21,0,13
1500000US010890027012,Block Group 2; Census Tract 27.01; Madison County; Alabama,371,115,208,111,38,27,91,48,34,40,0,13,0,13
1500000US010890027211,Block Group 1; Census Tract 27.21; Madison County; Alabama,549,103,341,81,86,44,42,31,41,28,39,61,0,13
1500000US010890027212,Block Group 2; Census Tract 27.21; Madison County; Alabama,626,141,411,142,120,51,55,34,29,31,7,11,4,9
1500000US010890027221,Block Group 1; Census Tract 27.22; Madison County; Alabama,338,71,195,56,14,16,99,48,30,41,0,13,0,13
1500000US010890027222,Block Group 2; Census Tract 27.22; Madison County; Alabama,472,90,305,82,69,39,64,56,28,29,6,13,0,13
1500000US010890028011,Block Group 1; Census Tract 28.01; Madison County; Alabama,350,137,138,86,118,123,40,38,54,45,0,13,0,13
1500000US010890028012,Block Group 2; Census Tract 28.01; Madison County; Alabama,508,200,339,172,97,88,16,20,56,55,0,13,0,13
1500000US010890028013,Block Group 3; Census Tract 28.01; Madison County; Alabama,137,73,115,68,22,31,0,13,0,13,0,13,0,13
1500000US010890028031,Block Group 1; Census Tract 28.03; Madison County; Alabama,538,155,184,88,188,93,134,108,26,27,6,14,0,13
1500000US010890028032,Block Group 2; Census Tract 28.03; Madison County; Alabama,717,179,240,105,86,64,346,143,45,53,0,13,0,13
1500000US010890028041,Block Group 1; Census Tract 28.04; Madison County; Alabama,200,85,131,75,69,61,0,13,0,13,0,13,0,13
1500000US010890028042,Block Group 2; Census Tract 28.04; Madison County; Alabama,737,168,371,94,231,139,19,35,83,42,33,54,0,13
1500000US010890029111,Block Group 1; Census Tract 29.11; Madison County; Alabama,593,103,326,93,70,38,103,67,76,53,18,22,0,13
1500000US010890029112,Block Group 2; Census Tract 29.11; Madison County; Alabama,222,73,83,43,49,35,35,34,37,51,0,13,18,24
1500000US010890029113,Block Group 3; Census Tract 29.11; Madison County; Alabama,347,120,210,103,55,37,67,54,15,23,0,13,0,13
1500000US010890029121,Block Group 1; Census Tract 29.12; Madison County; Alabama,403,84,181,48,168,68,41,24,0,13,13,21,0,13
1500000US010890029122,Block Group 2; Census Tract 29.12; Madison County; Alabama,309,74,175,54,24,21,76,60,34,18,0,13,0,13
1500000US010890029221,Block Group 1; Census Tract 29.22; Madison County; Alabama,389,120,199,84,152,99,22,27,16,23,0,13,0,13
1500000US010890029222,Block Group 2; Census Tract 29.22; Madison County; Alabama,691,123,387,122,198,76,75,44,24,26,7,13,0,13
1500000US010890029223,Block Group 3; Census Tract 29.22; Madison County; Alabama,258,55,102,37,56,41,71,38,22,23,7,11,0,13
1500000US010890029231,Block Group 1; Census Tract 29.23; Madison County; Alabama,355,162,254,153,43,41,20,25,38,36,0,13,0,13
1500000US010890029232,Block Group 2; Census Tract 29.23; Madison County; Alabama,361,158,186,132,65,55,99,73,11,19,0,13,0,13
1500000US010890029233,Block Group 3; Census Tract 29.23; Madison County; Alabama,195,84,94,69,38,38,56,35,7,13,0,13,0,13
1500000US010890029241,Block Group 1; Census Tract 29.24; Madison County; Alabama,307,109,232,102,0,13,43,32,32,36,0,13,0,13
1500000US010890029242,Block Group 2; Census Tract 29.24; Madison County; Alabama,655,281,288,175,278,207,43,42,27,35,19,26,0,13
1500000US010890030001,Block Group 1; Census Tract 30; Madison County; Alabama,300,110,125,70,60,63,72,89,43,40,0,13,0,13
