GEO_ID,NAME,Median Age,Median Age_MOE,Median Age (Male),Median Age (Male)_MOE,Median Age (Female),Median Age (Female)_MOE
1500000US010890112022,Block Group 2; Census Tract 112.02; Madison County; Alabama,33.9,8.7,32.3,7.6,41.3,17.4
1500000US010890112023,Block Group 3; Census Tract 112.02; Madison County; Alabama,51,16.5,43.5,12.7,54.2,8.9
1500000US010890112031,Block Group 1; Census Tract 112.03; Madison County; Alabama,36.6,15,41.4,20.8,30.8,16.8
1500000US010890112032,Block Group 2; Census Tract 112.03; Madison County; Alabama,35.1,3.7,34,4.8,35.4,5.2
1500000US010890112033,Block Group 3; Census Tract 112.03; Madison County; Alabama,54.8,15.6,46,17.2,55.7,29.3
1500000US010890113011,Block Group 1; Census Tract 113.01; Madison County; Alabama,43.5,10.6,47.5,10.4,40.8,12.5
1500000US010890113012,Block Group 2; Census Tract 113.01; Madison County; Alabama,30.1,3.2,35.6,11.6,27.8,3.8
1500000US010890113021,Block Group 1; Census Tract 113.02; Madison County; Alabama,58.3,4.1,57.3,11.8,61.4,8.6
1500000US010890113022,Block Group 2; Census Tract 113.02; Madison County; Alabama,34.7,11.6,32.3,16.9,40.1,10.5
1500000US010890113023,Block Group 3; Census Tract 113.02; Madison County; Alabama,36.3,4.2,37.1,8.8,35.3,5.2
1500000US010890114001,Block Group 1; Census Tract 114; Madison County; Alabama,44.1,6.9,41.2,12.6,44.6,3.6
1500000US010890114002,Block Group 2; Census Tract 114; Madison County; Alabama,40,21,35.7,14.9,47.9,18.1
1500000US010890114003,Block Group 3; Census Tract 114; Madison County; Alabama,43.2,19.9,46.2,18.9,41,21.9
1500000US010890114004,Block Group 4; Census Tract 114; Madison County; Alabama,32.9,2.7,33.7,5.6,32.4,4.8
