GEO_ID,NAME,Median Age,Median Age_MOE,Median Age (Male),Median Age (Male)_MOE,Median Age (Female),Median Age (Female)_MOE
1500000US010890018011,Block Group 1; Census Tract 18.01; Madison County; Alabama,35.6,3.3,34.7,4.4,36,3.5
1500000US010890018012,Block Group 2; Census Tract 18.01; Madison County; Alabama,33.8,7.7,33.2,21.6,36.1,5.1
1500000US010890018013,Block Group 3; Census Tract 18.01; Madison County; Alabama,59.1,9.9,59.4,18.4,59,13.7
1500000US010890019011,Block Group 1; Census Tract 19.01; Madison County; Alabama,50.8,5.1,55.6,6,49.6,8
1500000US010890019012,Block Group 2; Census Tract 19.01; Madison County; Alabama,44.2,9.6,43.6,7.9,52.1,18.5
1500000US010890019013,Block Group 3; Census Tract 19.01; Madison County; Alabama,52.8,6.9,54.3,7.6,50.3,7.3
1500000US010890019021,Block Group 1; Census Tract 19.02; Madison County; Alabama,58.4,2.4,58,4.1,59,3
1500000US010890019031,Block Group 1; Census Tract 19.03; Madison County; Alabama,47.3,5.8,49.2,6.9,45.4,5.7
1500000US010890020001,Block Group 1; Census Tract 20; Madison County; Alabama,32.3,2.7,31.6,1.9,35,30.3
1500000US010890020002,Block Group 2; Census Tract 20; Madison County; Alabama,34,1.4,34.9,2.7,32.9,3.7
1500000US010890021001,Block Group 1; Census Tract 21; Madison County; Alabama,47,11.8,46.6,2.8,61.5,26.1
1500000US010890021002,Block Group 2; Census Tract 21; Madison County; Alabama,41.6,7,40,7.9,45.4,13.1
1500000US010890021003,Block Group 3; Census Tract 21; Madison County; Alabama,50.4,31.6,15.1,39.9,57.1,10.2
1500000US010890022001,Block Group 1; Census Tract 22; Madison County; Alabama,28.7,3.2,27.8,3.8,33.3,8.6
1500000US010890022002,Block Group 2; Census Tract 22; Madison County; Alabama,46.8,14.6,52.6,36.6,46.3,16.6
1500000US010890023001,Block Group 1; Census Tract 23; Madison County; Alabama,32.1,24.6,25,35.1,32.1,29.8
1500000US010890023002,Block Group 2; Census Tract 23; Madison County; Alabama,30.2,13.3,38.7,21,18.8,15.8
1500000US010890023003,Block Group 3; Census Tract 23; Madison County; Alabama,62.7,2.1,62.4,1.3,73.6,13.5
1500000US010890023004,Block Group 4; Census Tract 23; Madison County; Alabama,41.2,19,39.8,29.6,41.3,20.8
1500000US010890024001,Block Group 1; Census Tract 24; Madison County; Alabama,27.7,24.9,48,18.2,12.4,17.5
1500000US010890024002,Block Group 2; Census Tract 24; Madison County; Alabama,31.8,13,25.7,32.9,33.2,11.2
1500000US010890024003,Block Group 3; Census Tract 24; Madison County; Alabama,42.9,10.4,42.1,7.8,48.8,11.6
1500000US010890024004,Block Group 4; Census Tract 24; Madison County; Alabama,31,22.8,29.9,31.9,35.4,19.5
1500000US010890025011,Block Group 1; Census Tract 25.01; Madison County; Alabama,29,10.1,28.8,17.1,29.3,12
1500000US010890025012,Block Group 2; Census Tract 25.01; Madison County; Alabama,21.1,9.8,22.8,9.7,10,26.1
1500000US010890025013,Block Group 3; Census Tract 25.01; Madison County; Alabama,28.8,21.9,46.4,31,17.5,20.5
1500000US010890025021,Block Group 1; Census Tract 25.02; Madison County; Alabama,27.3,13.2,25.1,19.8,34.1,11.7
1500000US010890025022,Block Group 2; Census Tract 25.02; Madison County; Alabama,34,19.2,42.3,14,27.5,9.4
1500000US010890025023,Block Group 3; Census Tract 25.02; Madison County; Alabama,33.9,9.4,38.7,5.4,33.4,7.2
1500000US010890026001,Block Group 1; Census Tract 26; Madison County; Alabama,50.7,21.9,29.2,25.3,61,8.1
1500000US010890026002,Block Group 2; Census Tract 26; Madison County; Alabama,54.9,12.5,49.3,12.3,61.2,11.9
1500000US010890026003,Block Group 3; Census Tract 26; Madison County; Alabama,34.9,2.7,33.7,2.9,36.6,13
1500000US010890027011,Block Group 1; Census Tract 27.01; Madison County; Alabama,59.6,3.3,58,6.1,61.2,5.1
1500000US010890027012,Block Group 2; Census Tract 27.01; Madison County; Alabama,35.7,3.1,35.3,1.4,43.2,15
1500000US010890027211,Block Group 1; Census Tract 27.21; Madison County; Alabama,58.2,12.8,43.9,28,61.8,1
1500000US010890027212,Block Group 2; Census Tract 27.21; Madison County; Alabama,48.5,21.2,37,15.7,53.5,21
1500000US010890027221,Block Group 1; Census Tract 27.22; Madison County; Alabama,46.2,13,37.9,19.9,47,10.6
1500000US010890027222,Block Group 2; Census Tract 27.22; Madison County; Alabama,49,9.5,55,11.7,48.2,15
1500000US010890028011,Block Group 1; Census Tract 28.01; Madison County; Alabama,37.3,9.9,35.4,10.5,40.3,14.5
