GEO_ID,NAME,Total,Total_MOE
1500000US010890002031,Block Group 1; Census Tract 2.03; Madison County; Alabama,492,197
1500000US010890002032,Block Group 2; Census Tract 2.03; Madison County; Alabama,364,118
1500000US010890002033,Block Group 3; Census Tract 2.03; Madison County; Alabama,745,207
1500000US010890003011,Block Group 1; Census Tract 3.01; Madison County; Alabama,505,115
1500000US010890003012,Block Group 2; Census Tract 3.01; Madison County; Alabama,419,109
1500000US010890003013,Block Group 3; Census Tract 3.01; Madison County; Alabama,710,205
1500000US010890003021,Block Group 1; Census Tract 3.02; Madison County; Alabama,990,179
1500000US010890003022,Block Group 2; Census Tract 3.02; Madison County; Alabama,701,279
1500000US010890004031,Block Group 1; Census Tract 4.03; Madison County; Alabama,974,157
1500000US010890004032,Block Group 2; Census Tract 4.03; Madison County; Alabama,252,120
1500000US010890004033,Block Group 3; Census Tract 4.03; Madison County; Alabama,918,239
1500000US010890005011,Block Group 1; Census Tract 5.01; Madison County; Alabama,367,75
1500000US010890005012,Block Group 2; Census Tract 5.01; Madison County; Alabama,385,90
1500000US010890005021,Block Group 1; Census Tract 5.02; Madison County; Alabama,455,144
1500000US010890005022,Block Group 2; Census Tract 5.02; Madison County; Alabama,514,110
1500000US010890005031,Block Group 1; Census Tract 5.03; Madison County; Alabama,346,83
1500000US010890005032,Block Group 2; Census Tract 5.03; Madison County; Alabama,496,126
1500000US010890006011,Block Group 1; Census Tract 6.01; Madison County; Alabama,338,88
1500000US010890006012,Block Group 2; Census Tract 6.01; Madison County; Alabama,286,59
1500000US010890006021,Block Group 1; Census Tract 6.02; Madison County; Alabama,480,114
1500000US010890006022,Block Group 2; Census Tract 6.02; Madison County; Alabama,376,81
1500000US010890007011,Block Group 1; Census Tract 7.01; Madison County; Alabama,638,133
1500000US010890007012,Block Group 2; Census Tract 7.01; Madison County; Alabama,239,102
1500000US010890007013,Block Group 3; Census Tract 7.01; Madison County; Alabama,589,168
1500000US010890007021,Block Group 1; Census Tract 7.02; Madison County; Alabama,645,146
1500000US010890007022,Block Group 2; Census Tract 7.02; Madison County; Alabama,947,208
1500000US010890009011,Block Group 1; Census Tract 9.01; Madison County; Alabama,559,175
1500000US010890009012,Block Group 2; Census Tract 9.01; Madison County; Alabama,628,201
1500000US010890009013,Block Group 3; Census Tract 9.01; Madison County; Alabama,442,181
1500000US010890009014,Block Group 4; Census Tract 9.01; Madison County; Alabama,616,180
1500000US010890009021,Block Group 1; Census Tract 9.02; Madison County; Alabama,879,276
