GEO_ID,NAME,Total Buildings,Total Buildings_MOE,Built 2020 or later,Built 2020 or later_MOE,Built 2010 to 2019,Built 2010 to 2019_MOE,Built 2000 to 2009,Built 2000 to 2009_MOE,Built 1990 to 1999,Built 1990 to 1999_MOE,Built 1980 to 1989,Built 1980 to 1989_MOE,Built 1970 to 1979,Built 1970 to 1979_MOE,Built 1960 to 1969,Built 1960 to 1969_MOE,Built 1950 to 1959,Built 1950 to 1959_MOE,Built 1940 to 1949,Built 1940 to 1949_MOE,Built 1939 or earlier,Built 1939 or earlier_MOE
1500000US010890105033,Block Group 3; Census Tract 105.03; Madison County; Alabama,534,260,21,35,162,117,97,112,112,112,50,63,19,32,73,75,0,13,0,13,0,13
1500000US010890105034,Block Group 4; Census Tract 105.03; Madison County; Alabama,812,225,0,13,306,149,383,199,48,58,0,13,26,45,21,35,28,44,0,13,0,13
1500000US010890105041,Block Group 1; Census Tract 105.04; Madison County; Alabama,1474,294,48,64,310,141,602,223,278,199,209,129,0,13,27,43,0,13,0,13,0,13
1500000US010890105042,Block Group 2; Census Tract 105.04; Madison County; Alabama,372,94,0,13,74,74,117,73,80,65,101,81,0,13,0,13,0,13,0,13,0,13
1500000US010890105043,Block Group 3; Census Tract 105.04; Madison County; Alabama,331,112,0,13,0,13,33,43,116,107,32,51,22,38,61,68,67,81,0,13,0,13
1500000US010890105044,Block Group 4; Census Tract 105.04; Madison County; Alabama,335,114,0,13,29,33,65,80,109,75,43,51,0,13,51,59,0,13,0,13,38,61
1500000US010890105045,Block Group 5; Census Tract 105.04; Madison County; Alabama,339,109,40,45,111,92,131,83,57,47,0,13,0,13,0,13,0,13,0,13,0,13
1500000US010890106121,Block Group 1; Census Tract 106.12; Madison County; Alabama,515,145,0,13,187,89,257,108,32,50,39,52,0,13,0,13,0,13,0,13,0,13
1500000US010890106122,Block Group 2; Census Tract 106.12; Madison County; Alabama,1727,222,209,101,477,151,198,150,569,169,244,108,30,36,0,13,0,13,0,13,0,13
1500000US010890106123,Block Group 3; Census Tract 106.12; Madison County; Alabama,1271,233,331,134,444,138,306,170,142,100,34,40,14,22,0,13,0,13,0,13,0,13
1500000US010890106231,Block Group 1; Census Tract 106.23; Madison County; Alabama,661,163,18,30,123,139,258,102,178,83,39,44,3,5,0,13,0,13,42,64,0,13
1500000US010890106232,Block Group 2; Census Tract 106.23; Madison County; Alabama,1339,477,235,154,524,437,423,136,64,47,93,90,0,13,0,13,0,13,0,13,0,13
1500000US010890106233,Block Group 3; Census Tract 106.23; Madison County; Alabama,1006,200,56,49,357,134,381,163,114,79,16,25,67,85,0,13,15,25,0,13,0,13
1500000US010890106251,Block Group 1; Census Tract 106.25; Madison County; Alabama,905,266,0,13,17,29,106,100,355,243,208,132,175,145,0,13,44,74,0,13,0,13
1500000US010890106252,Block Group 2; Census Tract 106.25; Madison County; Alabama,1404,531,14,51,312,188,143,143,0,13,562,463,252,222,18,42,0,13,0,13,103,137
1500000US010890106253,Block Group 3; Census Tract 106.25; Madison County; Alabama,294,124,0,13,0,13,0,13,13,23,264,125,17,28,0,13,0,13,0,13,0,13
1500000US010890106261,Block Group 1; Census Tract 106.26; Madison County; Alabama,241,105,26,48,136,91,26,43,0,13,0,13,19,33,34,45,0,13,0,13,0,13
1500000US010890106262,Block Group 2; Census Tract 106.26; Madison County; Alabama,741,190,65,103,327,185,179,135,19,34,107,111,15,25,0,13,0,13,0,13,29,50
1500000US010890106263,Block Group 3; Census Tract 106.26; Madison County; Alabama,861,182,256,155,210,122,119,80,150,111,85,79,19,30,0,13,22,35,0,13,0,13
1500000US010890106271,Block Group 1; Census Tract 106.27; Madison County; Alabama,1050,287,0,13,364,166,314,174,138,111,183,148,51,78,0,13,0,13,0,13,0,13
1500000US010890106272,Block Group 2; Census Tract 106.27; Madison County; Alabama,1006,229,45,69,241,185,331,188,35,47,89,70,129,117,0,13,136,113,0,13,0,13
1500000US010890106273,Block Group 3; Census Tract 106.27; Madison County; Alabama,859,231,0,13,380,142,297,215,71,81,111,97,0,13,0,13,0,13,0,13,0,13
1500000US010890106281,Block Group 1; Census Tract 106.28; Madison County; Alabama,578,214,0,13,56,88,77,59,260,93,185,195,0,13,0,13,0,13,0,13,0,13
1500000US010890106282,Block Group 2; Census Tract 106.28; Madison County; Alabama,718,123,0,13,42,46,574,117,95,47,0,13,7,15,0,13,0,13,0,13,0,13
1500000US010890106291,Block Group 1; Census Tract 106.29; Madison County; Alabama,855,139,0,13,127,78,211,89,132,64,248,130,24,33,89,67,9,16,0,13,15,23
1500000US010890106292,Block Group 2; Census Tract 106.29; Madison County; Alabama,1058,190,0,13,0,13,213,130,439,180,386,132,20,27,0,13,0,13,0,13,0,13
1500000US010890106301,Block Group 1; Census Tract 106.30; Madison County; Alabama,462,159,0,13,12,22,183,79,108,51,45,42,77,120,7,12,30,37,0,13,0,13
1500000US010890106302,Block Group 2; Census Tract 106.30; Madison County; Alabama,799,96,32,27,201,81,179,80,214,82,163,97,0,13,0,13,10,15,0,13,0,13
1500000US010890106311,Block Group 1; Census Tract 106.31; Madison County; Alabama,1155,175,166,85,508,170,442,182,0,13,12,21,19,30,8,14,0,13,0,13,0,13
1500000US010890106312,Block Group 2; Census Tract 106.31; Madison County; Alabama,900,125,42,46,87,70,357,113,268,92,146,66,0,13,0,13,0,13,0,13,0,13
1500000US010890107031,Block Group 1; Census Tract 107.03; Madison County; Alabama,570,127,123,74,159,97,15,18,174,95,34,39,10,15,27,42,20,35,8,17,0,13
1500000US010890107032,Block Group 2; Census Tract 107.03; Madison County; Alabama,1637,210,93,84,658,192,315,149,321,136,140,98,46,54,49,47,15,24,0,13,0,13
1500000US010890107041,Block Group 1; Census Tract 107.04; Madison County; Alabama,986,196,24,40,139,64,228,115,215,151,232,127,52,50,96,89,0,13,0,13,0,13
1500000US010890107042,Block Group 2; Census Tract 107.04; Madison County; Alabama,872,318,45,35,554,315,140,80,22,38,78,84,17,27,16,26,0,13,0,13,0,13
1500000US010890107043,Block Group 3; Census Tract 107.04; Madison County; Alabama,826,193,142,141,112,114,182,90,145,88,196,132,26,45,15,27,0,13,0,13,8,14
1500000US010890107051,Block Group 1; Census Tract 107.05; Madison County; Alabama,408,137,0,13,13,27,53,61,174,100,147,95,21,35,0,13,0,13,0,13,0,13
