GEO_ID,NAME,"Less than $10,000","Less than $10,000_MOE","$10,000 to $14,999","$10,000 to $14,999_MOE","$15,000 to $19,999","$15,000 to $19,999_MOE","$20,000 to $24,999","$20,000 to $24,999_MOE","$25,000 to $29,999","$25,000 to $29,999_MOE","$30,000 to $34,999","$30,000 to $34,999_MOE","$35,000 to $39,999","$35,000 to $39,999_MOE","$40,000 to $49,999","$40,000 to $49,999_MOE","$50,000 to $59,999","$50,000 to $59,999_MOE","$60,000 to $69,999","$60,000 to $69,999_MOE","$70,000 to $79,999","$70,000 to $79,999_MOE","$80,000 to $89,999","$80,000 to $89,999_MOE","$90,000 to $99,999","$90,000 to $99,999_MOE","$100,000 to $124,999","$100,000 to $124,999_MOE","$125,000 to $149,999","$125,000 to $149,999_MOE","$150,000 to $174,999","$150,000 to $174,999_MOE","$175,000 to $199,999","$175,000 to $199,999_MOE","$200,000 to $249,999","$200,000 to $249,999_MOE","$250,000 to $299,999","$250,000 to $299,999_MOE","$300,000 to $399,999","$300,000 to $399,999_MOE","$400,000 to $499,999","$400,000 to $499,999_MOE","$500,000 to $749,999","$500,000 to $749,999_MOE","$750,000 to $999,999","$750,000 to $999,999_MOE","$1,000,000 to $1,499,999","$1,000,000 to $1,499,999_MOE","$1,500,000 to $1,999,999","$1,500,000 to $1,999,999_MOE","$2,000,000 or more","$2,000,000 or more_MOE"
1500000US010890005031,Block Group 1; Census Tract 5.03; Madison County; Alabama,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,5,8,0,13,12,15,46,38,7,12,58,38,40,41,29,18,21,19,25,21,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13
1500000US010890005032,Block Group 2; Census Tract 5.03; Madison County; Alabama,0,13,2,11,0,13,0,13,0,13,0,13,0,13,0,13,17,27,5,9,6,12,18,17,34,27,66,87,22,21,43,41,7,11,73,59,43,56,18,25,0,13,0,13,0,13,0,13,0,13,0,13
1500000US010890006011,Block Group 1; Census Tract 6.01; Madison County; Alabama,0,13,0,13,0,13,0,13,0,13,0,13,0,13,4,6,0,13,0,13,0,13,3,6,3,5,96,61,5,7,37,40,9,16,16,15,15,19,12,17,0,13,0,13,0,13,4,5,0,13,0,13
1500000US010890006012,Block Group 2; Census Tract 6.01; Madison County; Alabama,0,13,46,37,4,6,0,13,0,13,0,13,0,13,0,13,0,13,0,13,10,14,34,36,7,9,55,41,17,26,14,15,0,13,25,31,18,28,0,13,0,13,0,13,4,6,0,13,0,13,0,13
1500000US010890006021,Block Group 1; Census Tract 6.02; Madison County; Alabama,40,61,0,13,0,13,0,13,0,13,25,36,0,13,0,13,6,10,0,13,17,18,9,13,47,33,56,38,37,35,0,13,25,20,8,11,44,53,0,13,0,13,0,13,0,13,0,13,0,13,0,13
1500000US010890006022,Block Group 2; Census Tract 6.02; Madison County; Alabama,0,13,0,13,9,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,48,33,6,10,31,26,50,25,22,19,21,19,24,38,25,25,10,16,0,13,0,13,11,16,0,13,0,13,0,13,0,13
1500000US010890007011,Block Group 1; Census Tract 7.01; Madison County; Alabama,0,13,0,13,0,13,0,13,0,13,0,13,0,13,6,11,0,13,0,13,0,13,8,13,0,13,0,13,17,24,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13
1500000US010890007012,Block Group 2; Census Tract 7.01; Madison County; Alabama,0,13,0,13,19,34,0,13,0,13,0,13,0,13,0,13,0,13,6,11,0,13,12,20,0,13,62,49,0,13,38,43,0,13,34,42,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13
1500000US010890007013,Block Group 3; Census Tract 7.01; Madison County; Alabama,0,13,0,13,0,13,0,13,12,21,0,13,0,13,0,13,0,13,9,19,0,13,12,20,0,13,162,118,72,60,4,10,15,28,35,57,17,29,0,13,0,13,0,13,35,37,0,13,0,13,0,13
1500000US010890007021,Block Group 1; Census Tract 7.02; Madison County; Alabama,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,21,28,0,13,24,40,0,13,39,47,4,10,88,67,187,115,17,20,62,51,12,18,7,11,6,10,22,36,0,13,0,13,0,13,0,13
1500000US010890007022,Block Group 2; Census Tract 7.02; Madison County; Alabama,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,31,48,0,13,10,19,29,37,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13
1500000US010890009011,Block Group 1; Census Tract 9.01; Madison County; Alabama,0,13,0,13,0,13,0,13,0,13,35,55,0,13,0,13,14,24,0,13,0,13,0,13,0,13,87,130,0,13,94,85,66,73,43,48,15,25,85,89,73,53,15,25,6,14,0,13,0,13,0,13
1500000US010890009012,Block Group 2; Census Tract 9.01; Madison County; Alabama,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,67,82,59,56,0,13,36,43,18,30,54,53,125,97,0,13,0,13,0,13,0,13,0,13,0,13
1500000US010890009013,Block Group 3; Census Tract 9.01; Madison County; Alabama,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,23,36,23,41,25,33,87,99,65,65,15,30,64,63,0,13,0,13,0,13,0,13,0,13,0,13
1500000US010890009014,Block Group 4; Census Tract 9.01; Madison County; Alabama,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,39,54,70,84,105,92,15,28,105,112,54,64,143,100,0,13,16,26,0,13,0,13,0,13,0,13
1500000US010890009021,Block Group 1; Census Tract 9.02; Madison County; Alabama,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,11,19,9,14,7,12,44,34,69,49,41,32,63,30,33,29,0,13,0,13,0,13,0,13
